date,platform,n
2016-12-24,mailchimp,367
2016-12-25,facebook,541
2016-12-25,mailchimp,367
2016-12-26,facebook,541
2016-12-26,mailchimp,367
2016-12-27,facebook,541
2016-12-27,mailchimp,367
2016-12-28,facebook,541
2016-12-28,mailchimp,367
2016-12-29,facebook,541
2016-12-29,mailchimp,367
2016-12-30,facebook,541
2016-12-30,mailchimp,367
2016-12-31,facebook,541
2016-12-31,mailchimp,367
2017-01-01,facebook,541
2017-01-01,mailchimp,367
2017-01-02,facebook,541
2017-01-02,mailchimp,367
2017-01-03,facebook,541
2017-01-03,mailchimp,367
2017-01-04,facebook,541
2017-01-04,mailchimp,367
2017-01-05,facebook,541
2017-01-05,mailchimp,367
2017-01-06,facebook,542
2017-01-06,mailchimp,367
2017-01-07,facebook,542
2017-01-07,mailchimp,367
2017-01-08,facebook,541
2017-01-08,mailchimp,367
2017-01-09,facebook,541
2017-01-09,mailchimp,367
2017-01-10,facebook,541
2017-01-10,mailchimp,367
2017-01-11,facebook,541
2017-01-11,mailchimp,367
2017-01-12,facebook,543
2017-01-12,mailchimp,367
2017-01-13,facebook,542
2017-01-13,mailchimp,367
2017-01-14,facebook,542
2017-01-14,mailchimp,368
2017-01-15,facebook,542
2017-01-15,mailchimp,368
2017-01-16,facebook,542
2017-01-16,mailchimp,368
2017-01-17,facebook,542
2017-01-17,mailchimp,368
2017-01-18,facebook,542
2017-01-18,mailchimp,368
2017-01-19,facebook,542
2017-01-19,mailchimp,368
2017-01-20,facebook,542
2017-01-20,mailchimp,368
2017-01-21,facebook,542
2017-01-21,mailchimp,368
2017-01-22,facebook,542
2017-01-22,mailchimp,368
2017-01-23,facebook,542
2017-01-23,mailchimp,368
2017-01-24,facebook,542
2017-01-24,mailchimp,368
2017-01-25,facebook,542
2017-01-25,mailchimp,368
2017-01-26,facebook,542
2017-01-26,mailchimp,368
2017-01-27,facebook,542
2017-01-27,mailchimp,368
2017-01-28,facebook,542
2017-01-28,mailchimp,368
2017-01-29,facebook,543
2017-01-29,mailchimp,368
2017-01-30,facebook,543
2017-01-30,mailchimp,368
2017-01-31,facebook,543
2017-01-31,mailchimp,368
2017-02-01,facebook,543
2017-02-01,mailchimp,368
